Date,Open,High,Low,Close,Adj Close,Volume
10/24/2022,243.76,247.84,241.29,247.25,247.25,24911212
10/25/2022,247.26,251.04,245.83,250.66,250.66,34775505
10/26/2022,231.17,238.3,230.06,231.32,231.32,82684846
10/27/2022,231.04,233.69,225.78,226.75,226.75,40424645
10/28/2022,226.24,236.6,226.05,235.87,235.87,40647724
10/31/2022,233.76,234.92,231.15,232.13,232.13,28357265
11/01/2022,234.6,235.74,227.32,228.17,228.17,30592271
11/02/2022,229.46,231.3,220.04,220.1,220.1,38407008
11/03/2022,220.09,220.41,213.98,214.25,214.25,36633922
11/04/2022,217.55,221.59,213.43,221.39,221.39,36789063
11/07/2022,221.99,228.41,221.28,227.87,227.87,33497979
11/08/2022,228.7,231.65,225.84,228.87,228.87,28192548
11/09/2022,227.37,228.63,224.33,224.51,224.51,27852910
11/10/2022,235.43,243.33,235.0,242.98,242.98,46268021
11/11/2022,242.99,247.99,241.93,247.11,247.11,34620246
11/14/2022,241.99,243.91,239.21,241.55,241.55,31123340
11/15/2022,245.66,247.0,240.03,241.97,241.97,31390117
11/16/2022,242.79,243.8,240.42,241.73,241.73,24093272
11/17/2022,237.78,243.25,237.63,241.68,241.68,23123544
11/18/2022,243.51,243.74,239.03,241.22,241.22,27613523
11/21/2022,241.43,244.67,241.19,242.05,242.05,26394700
11/22/2022,243.59,245.31,240.71,245.03,245.03,19665699
11/23/2022,245.11,248.28,244.27,247.58,247.58,19508462
11/25/2022,247.31,248.7,246.73,247.49,247.49,9200772
11/28/2022,246.08,246.65,240.8,241.76,241.76,24810271
11/29/2022,241.4,242.79,238.21,240.33,240.33,17956313
11/30/2022,240.57,255.33,239.86,255.14,255.14,47594239
12/01/2022,253.87,256.12,250.92,254.69,254.69,26041524
12/02/2022,249.82,256.06,249.69,255.02,255.02,21528520
12/05/2022,252.01,253.82,248.06,250.2,250.2,23435294
12/06/2022,250.82,251.86,243.78,245.12,245.12,22463727
12/07/2022,244.83,246.16,242.21,244.37,244.37,20481522
12/08/2022,244.84,248.74,243.06,247.4,247.4,22611757
12/09/2022,244.69,248.31,244.16,245.42,245.42,20609743
12/12/2022,247.45,252.54,247.17,252.51,252.51,30665069
12/13/2022,261.69,263.92,253.07,256.92,256.92,42196884
12/14/2022,257.13,262.59,254.31,257.22,257.22,35410933
12/15/2022,253.72,254.2,247.34,249.01,249.01,35568093
12/16/2022,248.55,249.84,243.51,244.69,244.69,86101994
12/19/2022,244.86,245.21,238.71,240.45,240.45,29696436
12/20/2022,239.4,242.91,238.42,241.8,241.8,25150802
12/21/2022,241.69,245.62,240.11,244.43,244.43,23690607
12/22/2022,241.26,241.99,233.87,238.19,238.19,28651664
12/23/2022,236.11,238.87,233.94,238.73,238.73,21206982
12/27/2022,238.7,238.93,235.83,236.96,236.96,16688648
12/28/2022,236.89,239.72,234.17,234.53,234.53,17457104
12/29/2022,235.65,241.92,235.65,241.01,241.01,19770693
12/30/2022,238.21,239.96,236.66,239.82,239.82,21938472
01/03/2023,243.08,245.75,237.4,239.58,239.58,25740036
01/04/2023,232.28,232.87,225.96,229.1,229.1,50623394
01/05/2023,227.2,227.55,221.76,222.31,222.31,39585623
01/06/2023,223.0,225.76,219.35,224.93,224.93,43613574
01/09/2023,226.45,231.24,226.41,227.12,227.12,27369784
01/10/2023,227.75,231.31,227.33,228.85,228.85,27033881
01/11/2023,231.29,235.95,231.11,235.77,235.77,28669331
01/12/2023,235.26,239.9,233.56,238.51,238.51,27269486
01/13/2023,237.0,239.37,234.92,239.23,239.23,21333265
01/17/2023,237.97,240.91,237.09,240.35,240.35,29831257
01/18/2023,241.56,242.38,235.52,235.81,235.81,30028692
01/19/2023,233.78,235.52,230.68,231.93,231.93,28623033
01/20/2023,234.85,240.74,234.51,240.22,240.22,35389809
01/23/2023,241.1,245.16,239.65,242.58,242.58,31933951
01/24/2023,242.5,243.95,240.44,242.04,242.04,40234444
01/25/2023,234.48,243.3,230.9,240.61,240.61,66526641
01/26/2023,243.65,248.31,242.0,248.0,248.0,33454491
01/27/2023,248.99,249.83,246.83,248.16,248.16,26498939
01/30/2023,244.51,245.6,242.2,242.71,242.71,25867365
01/31/2023,243.45,247.95,242.94,247.81,247.81,26541072
02/01/2023,248.0,255.18,245.47,252.75,252.75,31259912
02/02/2023,258.82,264.69,257.25,264.6,264.6,39940437
02/03/2023,259.54,264.2,257.1,258.35,258.35,29077256
02/06/2023,257.44,258.3,254.78,256.77,256.77,22517997
02/07/2023,260.53,268.77,260.08,267.56,267.56,50841365
02/08/2023,273.2,276.76,266.21,266.73,266.73,54686049
02/09/2023,273.8,273.98,262.8,263.62,263.62,42375102
02/10/2023,261.53,264.09,260.66,263.1,263.1,25818489
02/13/2023,267.64,274.6,267.15,271.32,271.32,44630921
02/14/2023,272.67,274.97,269.28,272.17,272.17,37047924
02/15/2023,268.32,270.73,266.18,269.32,269.32,28962163
02/16/2023,264.02,266.74,261.9,262.15,262.15,29603616
02/17/2023,259.39,260.09,256.0,258.06,258.06,30000055
